Timestamp,How many members reside in your household?,Which services do you currently pay for across individual/separate providers?,Choice Card 1: Review the comparative Starter options. Which of these would you prefer for your household?,Choice Card 2: Review the comparative Connect options. Which of these would you prefer for your household?,Choice Card 3: Review the comparative Family Secure options. Which of these would you prefer for your household?,Choice Card 4: Review the comparative Infinite options. Which of these would you prefer for your household?,"How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I worry that if one service goes down (e.g., fiber cut), I will lose all connectivity (mobile, internet, TV) at once.]","How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Migrating numbers or installing multiple hardware units (routers, TV boxes, cameras) is too complicated and time-consuming.]",How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Consolidating will not save me significant money compared to choosing separate cheaper providers.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I prefer separate monthly bills because it helps me manage my expenses better than one large combined invoice.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I am concerned about data privacy and sharing too much household behavior data with a single telecom company.],Which adjacent benefits would make you MORE likely to bundle services under one provider? (Select all that apply),"What is the single biggest factor that would convince you to switch your entire household to a unified ecosystem (e.g., Altura Home / Airtel Black)?"
6/26/2026 18:08:08,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Google One Cloud Storage (100GB to 2TB) for device backups,"No more fearing one outage kills internet, calls and TV together."
7/1/2026 11:42:14,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Straightforward invoice, not five confusing bills from different companies."
6/15/2026 18:24:50,3-4,"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Neutral,Neutral,Disagree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",A genuine price discount that beats my current separate bills combined.
7/18/2026 15:01:14,2,"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Neutral,Neutral,Disagree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Clear billing with absolutely no hidden fees buried in the fine print.
5/31/2026 18:18:13,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Agree,Strongly Disagree,Neutral,Payments Bank features offering high interest (7%) and cashback on utility bills,Transparent pricing - show me the real rupee savings versus my current providers.
7/16/2026 17:45:06,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Agree,Disagree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",A genuine price discount that beats my current separate bills combined.
6/28/2026 18:43:08,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Strongly Agree,Disagree,Disagree,Neutral,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",One single install day for everything instead of scheduling separate visits.
6/4/2026 16:43:25,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Reliability first - I switch only if there is no single point of failure.
5/24/2026 9:40:18,3-4,Mobile Postpaid/Prepaid SIMs,Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Agree,Neutral,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Payments Bank features offering high interest (7%) and cashback on utility bills",Confidence that my household data is not overshared with one company.
6/2/2026 18:13:41,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Disagree,Neutral,Agree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",One single install day for everything instead of scheduling separate visits.
6/15/2026 20:42:20,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Agree,Strongly Disagree,Neutral,Google One Cloud Storage (100GB to 2TB) for device backups,"Hassle-free setup, I dread coordinating router, set-top box and camera installs."
6/26/2026 8:45:01,5+,"Mobile Postpaid/Prepaid SIMs, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Agree,Disagree,Neutral,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",I want a trust guarantee - compensation if all services go down together.
6/19/2026 14:50:48,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Neutral,Strongly Agree,Neutral,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Autopay discount and no surprise charges added later.
5/28/2026 17:35:28,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Disagree,Agree,Neutral,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Trust that one outage won't silence my entire household connectivity.
5/28/2026 13:13:26,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Agree,Agree,Neutral,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Transparent pricing - show me the real rupee savings versus my current providers.
6/1/2026 20:20:33,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Confidence that my household data is not overshared with one company.
7/14/2026 14:49:24,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Strongly Agree,Agree,Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Reliability first - I switch only if there is no single point of failure.
6/18/2026 20:44:11,3-4,Mobile Postpaid/Prepaid SIMs,Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Strongly Agree,Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Transparent pricing - show me the real rupee savings versus my current providers.
7/17/2026 20:28:39,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Agree,Neutral,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Reduce the friction of porting my number and re-installing hardware.
7/15/2026 15:15:25,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Disagree,Neutral,Disagree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Better hardware quality - reliable routers and cameras that do not fail often.
7/5/2026 11:29:08,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Strongly Agree,Neutral,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Hassle-free setup, I dread coordinating router, set-top box and camera installs."
